source_cluster_id,target_cluster_id,relation_type,description,source_trigger,source_summary,target_trigger,target_summary,confidence_score,explanation,evidence_type,source_trigger_arguments,target_trigger_arguments,source_trigger_time,target_trigger_time,source_agent,target_agent,source_location,target_location,source_lat,source_lon,target_lat,target_lon
9058,9936,happens_before,,sustained military pressure campaign,"China has conducted several military exercises around Taiwan, indicating persistent pressure against Taiwan.",ramped up military activities,"China has increased military activities around Taiwan, including war games to express its disapproval of Taiwan's international engagements.",0.7243940830230711,Event 'sustained military pressure campaign' happens_before Event 'ramped up military activities' via COMET: 'China is very angry at Taiwan',comet_happens_before,"{'agent': 'China', 'object': 'military strategy', 'location': 'Taiwan Strait', 'time': 'Past five years', 'counterpart': 'Taiwan', 'impact_summary': 'Increased tension and risk of conflict in the Taiwan Strait.', 'cause': ""China's claim over Taiwan as its territory""}","{'agent': 'China', 'object': 'military activities', 'location': 'Around Taiwan', 'time': 'In the past five years, including May 2024', 'counterpart': None, 'impact_summary': ""The increased military presence is a warning against what China views as 'separatist acts' by Taiwan."", 'cause': ""Taiwan's leader's engagements with foreign countries and officials.""}",Past five years,"In the past five years, including May 2024",China,China,Taiwan Strait,Around Taiwan,24.49173883966648,119.60540174291498,24.8564725,121.8228012
9058,21870,happens_before,,sustained military pressure campaign,"China has conducted several military exercises around Taiwan, indicating persistent pressure against Taiwan.",stepped up its military and political pressure,"China intensifies its military and political pressure on Taiwan, viewing it as a part of sovereign Chinese territory.",0.7740367650985711,Event 'sustained military pressure campaign' happens_before Event 'stepped up its military and political pressure' via COMET: 'China is very angry at Taiwan',comet_happens_before,"{'agent': 'China', 'object': 'military strategy', 'location': 'Taiwan Strait', 'time': 'Past five years', 'counterpart': 'Taiwan', 'impact_summary': 'Increased tension and risk of conflict in the Taiwan Strait.', 'cause': ""China's claim over Taiwan as its territory""}","{'agent': 'China', 'object': 'Taiwan', 'location': 'Taiwan Strait', 'time': '2025-02-03', 'counterpart': None, 'impact_summary': 'Increases regional tension and necessitates diplomatic efforts for peace.', 'cause': ""Lai's separatist stance and Taiwan's independence push""}",Past five years,2025-02-03,China,China,Taiwan Strait,Taiwan Strait,24.49173883966648,119.60540174291498,24.49173883966648,119.60540174291498
9058,24264,happens_before,,sustained military pressure campaign,"China has conducted several military exercises around Taiwan, indicating persistent pressure against Taiwan.",frequent military operations,"Chinese military operations around Taiwan present a serious threat, causing tension in the region.",0.735974431037902,Event 'sustained military pressure campaign' happens_before Event 'frequent military operations' via COMET: 'China is very angry at Taiwan',comet_happens_before,"{'agent': 'China', 'object': 'military strategy', 'location': 'Taiwan Strait', 'time': 'Past five years', 'counterpart': 'Taiwan', 'impact_summary': 'Increased tension and risk of conflict in the Taiwan Strait.', 'cause': ""China's claim over Taiwan as its territory""}","{'agent': 'Chinese military', 'object': 'military operations', 'location': 'Taiwan Strait', 'time': 'Ongoing since four years', 'counterpart': None, 'impact_summary': 'Heightened military tension around Taiwan', 'cause': ""China's attempts to assert sovereignty claims""}",Past five years,Ongoing since four years,China,Chinese military,Taiwan Strait,Taiwan Strait,24.49173883966648,119.60540174291498,24.49173883966648,119.60540174291498
9058,31957,happens_before,,sustained military pressure campaign,"China has conducted several military exercises around Taiwan, indicating persistent pressure against Taiwan.",large-scale war games around Taiwan,China staged large-scale military exercises around Taiwan following political visits between Taiwanese leaders and US officials causing anger in Beijing.,0.7358716726303101,Event 'sustained military pressure campaign' happens_before Event 'large-scale war games around Taiwan' via COMET: 'Chinese military exercises',comet_happens_before,"{'agent': 'China', 'object': 'military strategy', 'location': 'Taiwan Strait', 'time': 'Past five years', 'counterpart': 'Taiwan', 'impact_summary': 'Increased tension and risk of conflict in the Taiwan Strait.', 'cause': ""China's claim over Taiwan as its territory""}",,Past five years,,China,,Taiwan Strait,,24.49173883966648,119.60540174291498,,
9936,4704,happens_before,,ramped up military activities,"China has increased military activities around Taiwan, including war games to express its disapproval of Taiwan's international engagements.",China increased military pressure,"China has increased its military activities around Taiwan by deploying fighter jets and warships, simulating attacks, and practising blockade strategies.",0.708770275115966,Event 'ramped up military activities' happens_before Event 'China increased military pressure' via COMET: 'China is threatening to invade Taiwan.',comet_happens_before,"{'agent': 'China', 'object': 'military activities', 'location': 'Around Taiwan', 'time': 'In the past five years, including May 2024', 'counterpart': None, 'impact_summary': ""The increased military presence is a warning against what China views as 'separatist acts' by Taiwan."", 'cause': ""Taiwan's leader's engagements with foreign countries and officials.""}",,"In the past five years, including May 2024",,China,,Around Taiwan,,24.8564725,121.8228012,,
9936,21870,happens_before,,ramped up military activities,"China has increased military activities around Taiwan, including war games to express its disapproval of Taiwan's international engagements.",stepped up its military and political pressure,"China intensifies its military and political pressure on Taiwan, viewing it as a part of sovereign Chinese territory.",0.7558318972587581,Event 'ramped up military activities' happens_before Event 'stepped up its military and political pressure' via COMET: 'China is threatening to invade Taiwan.',comet_happens_before,"{'agent': 'China', 'object': 'military activities', 'location': 'Around Taiwan', 'time': 'In the past five years, including May 2024', 'counterpart': None, 'impact_summary': ""The increased military presence is a warning against what China views as 'separatist acts' by Taiwan."", 'cause': ""Taiwan's leader's engagements with foreign countries and officials.""}","{'agent': 'China', 'object': 'Taiwan', 'location': 'Taiwan Strait', 'time': '2025-02-03', 'counterpart': None, 'impact_summary': 'Increases regional tension and necessitates diplomatic efforts for peace.', 'cause': ""Lai's separatist stance and Taiwan's independence push""}","In the past five years, including May 2024",2025-02-03,China,China,Around Taiwan,Taiwan Strait,24.8564725,121.8228012,24.49173883966648,119.60540174291498
9936,23862,happens_before,,ramped up military activities,"China has increased military activities around Taiwan, including war games to express its disapproval of Taiwan's international engagements.",urged the US to stop sending wrong signals,"China warned the US about interactions with Taiwan, emphasizing separatist risks.",0.7144389748573301,Event 'ramped up military activities' happens_before Event 'urged the US to stop sending wrong signals' via COMET: 'China is threatening to invade Taiwan.',comet_happens_before,"{'agent': 'China', 'object': 'military activities', 'location': 'Around Taiwan', 'time': 'In the past five years, including May 2024', 'counterpart': None, 'impact_summary': ""The increased military presence is a warning against what China views as 'separatist acts' by Taiwan."", 'cause': ""Taiwan's leader's engagements with foreign countries and officials.""}",,"In the past five years, including May 2024",,China,,Around Taiwan,,24.8564725,121.8228012,,
9936,24264,happens_before,,ramped up military activities,"China has increased military activities around Taiwan, including war games to express its disapproval of Taiwan's international engagements.",frequent military operations,"Chinese military operations around Taiwan present a serious threat, causing tension in the region.",0.803046762943267,Event 'ramped up military activities' happens_before Event 'frequent military operations' via COMET: 'China is threatening to invade Taiwan.',comet_happens_before,"{'agent': 'China', 'object': 'military activities', 'location': 'Around Taiwan', 'time': 'In the past five years, including May 2024', 'counterpart': None, 'impact_summary': ""The increased military presence is a warning against what China views as 'separatist acts' by Taiwan."", 'cause': ""Taiwan's leader's engagements with foreign countries and officials.""}","{'agent': 'Chinese military', 'object': 'military operations', 'location': 'Taiwan Strait', 'time': 'Ongoing since four years', 'counterpart': None, 'impact_summary': 'Heightened military tension around Taiwan', 'cause': ""China's attempts to assert sovereignty claims""}","In the past five years, including May 2024",Ongoing since four years,China,Chinese military,Around Taiwan,Taiwan Strait,24.8564725,121.8228012,24.49173883966648,119.60540174291498
10288,9789,happens_before,,live firing exercise,China announced a live firing operation in the Taiwan Strait on Oct 22 following US and Canadian warships' passage and recent military drills by Beijing.,submarine arms race,An arms race is intensifying between China and the US with advancements in nuclear-powered submarines being a focal point.,0.713741898536682,Event 'live firing exercise' happens_before Event 'submarine arms race' via COMET: 'China's navy is being used as a weapon',comet_happens_before,"{'agent': 'Chinese authorities', 'object': 'Taiwan Strait', 'location': 'Taiwan Strait', 'time': '2024-10-22', 'counterpart': None, 'impact_summary': ""This operation escalates tensions in the region, showing China's military assertiveness."", 'cause': 'Passage of US and Canadian warships and recent military drills by Beijing.'}","{'agent': 'China, United States', 'object': 'nuclear-powered submarines', 'location': 'Indo-Pacific region', 'time': '2024 and beyond', 'counterpart': 'United States, allies', 'impact_summary': 'Competition for maritime supremacy underscores geopolitical rivalries in the Indo-Pacific.', 'cause': 'Strategic necessity perceived by major powers'}",2024-10-22,2024 and beyond,Chinese authorities,"China, United States",Taiwan Strait,Indo-Pacific region,24.49173883966648,119.60540174291498,,
10474,2579,happens_before,,slowest growth,"China reported its slowest economic growth in a year and a half, driven by sluggish spending and a crisis in the property sector.",slowing economy,"China's economic growth slowed, with GDP growing 4.8% in the first nine months of 2024, missing the target of around 5%.",0.7869376540184021,Event 'slowest growth' happens_before Event 'slowing economy' via COMET: 'China's economy slows',comet_happens_before,"{'agent': 'Japanese service sector', 'object': 'service activity', 'location': 'Japan', 'time': '2023-10', 'counterpart': None, 'impact_summary': 'Slow expansion raises concern about economic growth.', 'cause': 'Weak demand and lower new orders.'}","{'agent': 'Chinese economy', 'object': 'economic growth', 'location': 'China', 'time': 'recent months', 'counterpart': None, 'impact_summary': 'Reflects challenges such as weaker demand and impacts on various sectors, though some like catering are thriving.', 'cause': 'Post-COVID recovery momentum slowing and external economic factors.'}",2023-10,recent months,Japanese service sector,Chinese economy,Japan,China,36.5748441,139.2394179,35.0000663,104.999955
10610,8184,happens_before,,signed mutual defence agreement with North Korea,"Russia established a mutual defense pact with North Korea, signaling a strategic alliance possibly countering Western military influences.",ratified the landmark defence pact,"North Korea ratified a defense pact with Russia, which had previously been unanimously approved by Moscow lawmakers.",0.7477982640266411,Event 'signed mutual defence agreement with North Korea' happens_before Event 'ratified the landmark defence pact' via COMET: 'Russia and the DPRK signed a pact',comet_happens_before,,"{'agent': 'North Korea', 'object': 'defense pact', 'location': 'Pyongyang, North Korea', 'time': '2024-11', 'counterpart': 'Russia', 'impact_summary': 'The ratification consolidates military cooperation between the two nations amidst Western sanctions.', 'cause': 'Prior approval by Russian lawmakers and continuing strategic alliance'}",,2024-11,,North Korea,,"Pyongyang, North Korea",,,39.0167979,125.7473609
12051,9786,happens_before,,sinking of newest submarine,"China covered up the sinking of its first-in-class nuclear-powered submarine at a shipyard, raising questions about internal accountability and training standards.",retrieved spying devices,"China's Ministry of State Security announced the retrieval of espionage devices on the ocean surface and depths, which could guide foreign submarines.",0.7125360965728761,Event 'sinking of newest submarine' happens_before Event 'retrieved spying devices' via COMET: 'China has a secret submarine',comet_happens_before,"{'agent': 'China', 'object': 'newest nuclear-powered submarine', 'location': 'China', 'time': '2024', 'counterpart': None, 'impact_summary': ""The incident highlights potential issues in training standards and the quality of equipment and raises questions about PLA's internal accountability and China's defence industry."", 'cause': 'Sinking of the submarine pierside'}","{'agent': ""China's Ministry of State Security"", 'object': 'spying devices', 'location': 'South China Sea', 'time': '2024-10-29', 'counterpart': None, 'impact_summary': ""The gadgets represent a significant threat to national security, highlighting China's ongoing tension with foreign powers."", 'cause': 'Foreign surveillance activities in territorial waters'}",2024,2024-10-29,China,China's Ministry of State Security,China,South China Sea,35.0000663,104.999955,15.0000001,114.9999999
12422,29636,causes,,gradually resume importing seafood,China announced it would resume importing seafood from Japan after a previous ban due to the Fukushima water release.,release of treated water,"Japan faces backlash, including a ban on seafood imports from China, following the release of treated water from Fukushima, prompting potential WTO involvement.",0.7062437534332271,Event 'gradually resume importing seafood' causes Event 'release of treated water' via COMET: 'is not allowed to buy seafood from Japan',comet_causes,"{'agent': 'Chinese government', 'object': 'seafood imports', 'location': 'China', 'time': '2024-09', 'counterpart': 'Japanese exporters', 'impact_summary': 'Restoration of bilateral trade in seafood exports, potentially easing some tensions.', 'cause': 'Prior ban on imports due to environmental concerns.'}","{'agent': 'Japan', 'object': 'treated water', 'location': 'Pacific Ocean', 'time': '2023-08-22', 'counterpart': 'South Korea', 'impact_summary': 'The decision risks regional diplomatic relations and public safety concerns.', 'cause': 'Running out of storage capacity for contaminated water'}",2024-09,2023-08-22,Chinese government,Japan,China,Pacific Ocean,35.0000663,104.999955,-0.703107,-120.9375
12619,9644,happens_before,,sanctions on US firms,China imposed sanctions on 10 US defense firms on January 2 over arms sales to Taiwan.,US arms package to Taiwan,"The US approved a new $2 billion arms package for Taiwan, sparking anger in Beijing.",0.716039359569549,Event 'sanctions on US firms' happens_before Event 'US arms package to Taiwan' via COMET: 'US sells arms to the people of Taiwan',comet_happens_before,,,,,,,,,,,,
12619,9912,happens_before,,sanctions on US firms,China imposed sanctions on 10 US defense firms on January 2 over arms sales to Taiwan.,US okays $2.6 billion arms sale to Taiwan,"The United States approved a US$2 billion arms sale package to Taiwan, leading to international tensions as China vows countermeasures.",0.7381483316421501,Event 'sanctions on US firms' happens_before Event 'US okays $2.6 billion arms sale to Taiwan' via COMET: 'US sells arms to the people of Taiwan',comet_happens_before,,,,,,,,,,,,
12619,22582,happens_before,,sanctions on US firms,China imposed sanctions on 10 US defense firms on January 2 over arms sales to Taiwan.,tensions between the US and China are high,"Tensions have escalated between the US and China, impacting their commercial relationship.",0.740641117095947,Event 'sanctions on US firms' happens_before Event 'tensions between the US and China are high' via COMET: 'China is getting mad at the US',comet_happens_before,,,,,,,,,,,,
13141,16221,happens_before,,hold joint military drills,"China announced it would conduct joint military drills with Russia in September 2024, enhancing military cooperation between the two countries.",live-fire naval exercises,China and Russia have commenced live-fire naval exercises in the South China Sea to enhance joint maritime security capabilities amidst strengthened military cooperation.,0.7584649324417111,Event 'hold joint military drills' happens_before Event 'live-fire naval exercises' via COMET: 'China and Russia to conduct joint military exercises',comet_happens_before,"{'agent': 'China', 'object': 'joint military drills', 'location': ""Sea of Japan and Sea of Okhotsk, off Russia's coast"", 'time': '2024-09', 'counterpart': 'Russia', 'impact_summary': 'The drills are seen as a strategic move to bolster military ties and address mutual security concerns.', 'cause': 'Deepening military ties and strategic cooperation between China and Russia.'}","{'agent': 'China and Russia', 'object': 'naval capabilities', 'location': 'South China Sea', 'time': '2024-07-17', 'counterpart': None, 'impact_summary': 'Enhanced military readiness and joint response capability in maritime security.', 'cause': 'Strengthened military ties following US sanctions'}",2024-09,2024-07-17,China,China and Russia,"Sea of Japan and Sea of Okhotsk, off Russia's coast",South China Sea,,,15.0000001,114.9999999
13390,1812,happens_before,,Jake Sullivan’s trip to Beijing,US National Security Adviser Jake Sullivan traveled to Beijing to manage tensions between the US and China amidst a political transition in the US.,meetings with Tesla CEO Elon Musk and other US business leaders,Chinese Vice President Han Zheng met with Elon Musk and other U.S. business leaders in Washington to discuss strengthening economic ties before Trump's inauguration.,0.7182728648185731,Event 'Jake Sullivan’s trip to Beijing' happens_before Event 'meetings with Tesla CEO Elon Musk and other US business leaders' via COMET: 'US President Donald Trump talks to the Chinese leader',comet_happens_before,,,,,,,,,,,,
13390,13797,happens_before,,Jake Sullivan’s trip to Beijing,US National Security Adviser Jake Sullivan traveled to Beijing to manage tensions between the US and China amidst a political transition in the US.,Jake Sullivan held several days of talks in Beijing,"White House National Security Adviser Jake Sullivan met with Chinese President Xi Jinping, emphasizing the need to manage US-China relations.",0.8362233638763421,Event 'Jake Sullivan’s trip to Beijing' happens_before Event 'Jake Sullivan held several days of talks in Beijing' via COMET: 'US national security advisor Jake Sullivan visits China',comet_happens_before,,,,,,,,,,,,
13405,16084,happens_before,,asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty,China sent a document to Malaysia asserting that its oil and gas exploration in the South China Sea infringes on Chinese sovereignty.,2016 ruling of an international arbitral tribunal,"The international tribunal ruled against China's territorial claims over the South China Sea, based on legal grounds, which China refuses to acknowledge.",0.7172247171401971,Event 'asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty' happens_before Event '2016 ruling of an international arbitral tribunal' via COMET: 'China has a claim to the sea',comet_happens_before,,"{'agent': 'International arbitral tribunal', 'object': ""China's territorial claims"", 'location': 'South China Sea', 'time': '2016', 'counterpart': 'China', 'impact_summary': 'Continues to fuel disputes and conflicts over maritime boundaries in the region.', 'cause': 'Dispute over historic maps and territorial claims.'}",,2016,,International arbitral tribunal,,South China Sea,,,15.0000001,114.9999999
13405,17244,happens_before,,asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty,China sent a document to Malaysia asserting that its oil and gas exploration in the South China Sea infringes on Chinese sovereignty.,China tensions grow,There is an increase in tensions between China and its neighboring countries over territorial claims in the South China Sea.,0.731219291687011,Event 'asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty' happens_before Event 'China tensions grow' via COMET: 'China has a claim to the sea',comet_happens_before,,,,,,,,,,,,
13405,20644,happens_before,,asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty,China sent a document to Malaysia asserting that its oil and gas exploration in the South China Sea infringes on Chinese sovereignty.,maritime claims,"China's extensive territorial claims in the South China Sea, including contested areas like the Second Thomas Shoal, have led to international tensions.",0.7531191110610961,Event 'asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty' happens_before Event 'maritime claims' via COMET: 'China has a claim to the sea',comet_happens_before,,"{'agent': 'China', 'object': 'South China Sea', 'location': 'South China Sea', 'time': 'Ongoing', 'counterpart': 'Philippines', 'impact_summary': 'Heightened tensions with the Philippines and regional instability due to competing maritime claims.', 'cause': ""China's aggressive territorial expansion strategies""}",,Ongoing,,China,,South China Sea,,,15.0000001,114.9999999
13405,23168,happens_before,,asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty,China sent a document to Malaysia asserting that its oil and gas exploration in the South China Sea infringes on Chinese sovereignty.,territorial disputes in the South China Sea,"The Philippines is facing territorial disputes with China in the South China Sea, which continue to affect international relations.",0.7004398107528681,Event 'asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty' happens_before Event 'territorial disputes in the South China Sea' via COMET: 'China is in the middle of a conflict with Malaysia',comet_happens_before,,,,,,,,,,,,
13405,25239,happens_before,,asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty,China sent a document to Malaysia asserting that its oil and gas exploration in the South China Sea infringes on Chinese sovereignty.,2016 ruling by the Permanent Court of Arbitration,A 2016 ruling by the Permanent Court of Arbitration found that China's claims over the South China Sea lacked legal basis.,0.720183610916137,Event 'asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty' happens_before Event '2016 ruling by the Permanent Court of Arbitration' via COMET: 'China has a claim to the sea',comet_happens_before,,,,,,,,,,,,
13405,27234,happens_before,,asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty,China sent a document to Malaysia asserting that its oil and gas exploration in the South China Sea infringes on Chinese sovereignty.,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",0.7164733409881591,Event 'asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty' happens_before Event 'claims sovereignty over nearly all of the South China Sea' via COMET: 'China has a claim to the sea',comet_happens_before,,,,,,,,,,,,
13405,32266,happens_before,,asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty,China sent a document to Malaysia asserting that its oil and gas exploration in the South China Sea infringes on Chinese sovereignty.,China's maritime claims,"China has been increasingly assertive about its claims in the South China Sea, causing regional tensions with Southeast Asian countries that have overlapping claims.",0.783479630947113,Event 'asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty' happens_before Event 'China's maritime claims' via COMET: 'China has a claim to the sea',comet_happens_before,,,,,,,,,,,,
13687,8201,happens_before,,control measures,"China announced it took 'control measures' against two Philippine coast guard vessels in waters near the disputed Sabina Shoal, intensifying territorial tensions in the South China Sea.",pressure on the Philippines,China is increasing pressure on the Philippines to cede its sovereign rights in the South China Sea.,0.710229635238647,Event 'control measures' happens_before Event 'pressure on the Philippines' via COMET: 'China has been threatening to attack the Philippines',comet_happens_before,"{'agent': 'China', 'object': 'Philippine coast guard vessels', 'location': 'disputed Sabina Shoal, South China Sea', 'time': '2024-08-26', 'counterpart': 'Philippine coast guard', 'impact_summary': 'This incident contributes to the ongoing geopolitical tension in the South China Sea, potentially inviting responses from other nations involved in the region.', 'cause': 'territorial disputes in the South China Sea'}",,2024-08-26,,China,,"disputed Sabina Shoal, South China Sea",,,,,
13687,17027,happens_before,,control measures,"China announced it took 'control measures' against two Philippine coast guard vessels in waters near the disputed Sabina Shoal, intensifying territorial tensions in the South China Sea.",flare-up with China,"Tensions have escalated between the Philippines and China in the South China Sea, with instances of violence reported over resupply missions.",0.719954013824462,Event 'control measures' happens_before Event 'flare-up with China' via COMET: 'China has been threatening to attack the Philippines',comet_happens_before,"{'agent': 'China', 'object': 'Philippine coast guard vessels', 'location': 'disputed Sabina Shoal, South China Sea', 'time': '2024-08-26', 'counterpart': 'Philippine coast guard', 'impact_summary': 'This incident contributes to the ongoing geopolitical tension in the South China Sea, potentially inviting responses from other nations involved in the region.', 'cause': 'territorial disputes in the South China Sea'}",,2024-08-26,,China,,"disputed Sabina Shoal, South China Sea",,,,,
13687,20661,happens_before,,control measures,"China announced it took 'control measures' against two Philippine coast guard vessels in waters near the disputed Sabina Shoal, intensifying territorial tensions in the South China Sea.",Beijing's increasing assertiveness,"China's assertive actions in the South China Sea are contributing to heightened geopolitical tensions in the region, influencing US-Philippines relations.",0.7637311816215511,Event 'control measures' happens_before Event 'Beijing's increasing assertiveness' via COMET: 'China has been threatening to attack the Philippines',comet_happens_before,"{'agent': 'China', 'object': 'Philippine coast guard vessels', 'location': 'disputed Sabina Shoal, South China Sea', 'time': '2024-08-26', 'counterpart': 'Philippine coast guard', 'impact_summary': 'This incident contributes to the ongoing geopolitical tension in the South China Sea, potentially inviting responses from other nations involved in the region.', 'cause': 'territorial disputes in the South China Sea'}",,2024-08-26,,China,,"disputed Sabina Shoal, South China Sea",,,,,
13687,20679,happens_before,,control measures,"China announced it took 'control measures' against two Philippine coast guard vessels in waters near the disputed Sabina Shoal, intensifying territorial tensions in the South China Sea.",maritime run-ins,"Tensions have escalated between the Philippines and China in the South China Sea following several maritime run-ins, including the use of water cannon and heated exchanges over territorial claims.",0.728398442268371,Event 'control measures' happens_before Event 'maritime run-ins' via COMET: 'China has been threatening to attack the Philippines',comet_happens_before,"{'agent': 'China', 'object': 'Philippine coast guard vessels', 'location': 'disputed Sabina Shoal, South China Sea', 'time': '2024-08-26', 'counterpart': 'Philippine coast guard', 'impact_summary': 'This incident contributes to the ongoing geopolitical tension in the South China Sea, potentially inviting responses from other nations involved in the region.', 'cause': 'territorial disputes in the South China Sea'}","{'agent': 'Philippines and China', 'object': 'maritime territory', 'location': 'Second Thomas Shoal, South China Sea', 'time': '2024-03-15', 'counterpart': None, 'impact_summary': 'Escalation of disputes and increased military presence in the South China Sea.', 'cause': 'Territorial claims and sovereignty disputes.'}",2024-08-26,2024-03-15,China,Philippines and China,"disputed Sabina Shoal, South China Sea","Second Thomas Shoal, South China Sea",,,,
13687,21533,happens_before,,control measures,"China announced it took 'control measures' against two Philippine coast guard vessels in waters near the disputed Sabina Shoal, intensifying territorial tensions in the South China Sea.",Ties have soured,Relations between China and the Philippines have deteriorated due to maritime disputes and perceived aggressive actions by China in the South China Sea.,0.734928607940673,Event 'control measures' happens_before Event 'Ties have soured' via COMET: 'China has been threatening to attack the Philippines',comet_happens_before,"{'agent': 'China', 'object': 'Philippine coast guard vessels', 'location': 'disputed Sabina Shoal, South China Sea', 'time': '2024-08-26', 'counterpart': 'Philippine coast guard', 'impact_summary': 'This incident contributes to the ongoing geopolitical tension in the South China Sea, potentially inviting responses from other nations involved in the region.', 'cause': 'territorial disputes in the South China Sea'}",,2024-08-26,,China,,"disputed Sabina Shoal, South China Sea",,,,,
13687,21563,happens_before,,control measures,"China announced it took 'control measures' against two Philippine coast guard vessels in waters near the disputed Sabina Shoal, intensifying territorial tensions in the South China Sea.",maritime run-ins,Recent run-ins between China and the Philippines have made the South China Sea a flashpoint for potential conflict between the US and China.,0.7279276847839351,Event 'control measures' happens_before Event 'maritime run-ins' via COMET: 'China has been threatening to attack the Philippines',comet_happens_before,"{'agent': 'China', 'object': 'Philippine coast guard vessels', 'location': 'disputed Sabina Shoal, South China Sea', 'time': '2024-08-26', 'counterpart': 'Philippine coast guard', 'impact_summary': 'This incident contributes to the ongoing geopolitical tension in the South China Sea, potentially inviting responses from other nations involved in the region.', 'cause': 'territorial disputes in the South China Sea'}","{'agent': 'Philippines and China', 'object': 'maritime territory', 'location': 'Second Thomas Shoal, South China Sea', 'time': '2024-03-15', 'counterpart': None, 'impact_summary': 'Escalation of disputes and increased military presence in the South China Sea.', 'cause': 'Territorial claims and sovereignty disputes.'}",2024-08-26,2024-03-15,China,Philippines and China,"disputed Sabina Shoal, South China Sea","Second Thomas Shoal, South China Sea",,,,
13687,23168,happens_before,,control measures,"China announced it took 'control measures' against two Philippine coast guard vessels in waters near the disputed Sabina Shoal, intensifying territorial tensions in the South China Sea.",territorial disputes in the South China Sea,"The Philippines is facing territorial disputes with China in the South China Sea, which continue to affect international relations.",0.7335289716720581,Event 'control measures' happens_before Event 'territorial disputes in the South China Sea' via COMET: 'China has been threatening to attack the Philippines',comet_happens_before,"{'agent': 'China', 'object': 'Philippine coast guard vessels', 'location': 'disputed Sabina Shoal, South China Sea', 'time': '2024-08-26', 'counterpart': 'Philippine coast guard', 'impact_summary': 'This incident contributes to the ongoing geopolitical tension in the South China Sea, potentially inviting responses from other nations involved in the region.', 'cause': 'territorial disputes in the South China Sea'}",,2024-08-26,,China,,"disputed Sabina Shoal, South China Sea",,,,,
13930,272,happens_before,,US export controls,US-China relations are strained over issues like US export controls on advanced chip technology to China and additional tariffs on Chinese goods.,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",0.7047160267829891,Event 'US export controls' happens_before Event 'threatened to slap a 60 per cent flat fee on Chinese goods' via COMET: 'US and China trade war',comet_happens_before,,,,,,,,,,,,
13930,8822,happens_before,,US export controls,US-China relations are strained over issues like US export controls on advanced chip technology to China and additional tariffs on Chinese goods.,trade war since 2018,"The ongoing trade war between the US and China has escalated under Trump's policies, further affecting Asian nations.",0.8306915760040281,Event 'US export controls' happens_before Event 'trade war since 2018' via COMET: 'US and China trade war',comet_happens_before,,"{'agent': 'United States; China', 'object': 'Trade relations', 'location': 'Global', 'time': '2018-Present', 'counterpart': 'Asian markets', 'impact_summary': 'Trade tensions affect global markets with increased uncertainty.', 'cause': 'Escalation of tariffs and nationalistic policies'}",,2018-Present,,United States; China,,Global,,,55.702215,12.5592485
13930,9545,happens_before,,US export controls,US-China relations are strained over issues like US export controls on advanced chip technology to China and additional tariffs on Chinese goods.,superpower rivalry,"Regardless of the US presidential election's outcome, the geopolitical rivalry between the US and China over trade, technology, and security is expected to persist.",0.7295207977294921,Event 'US export controls' happens_before Event 'superpower rivalry' via COMET: 'US and China are at odds',comet_happens_before,,"{'agent': 'United States and China', 'object': 'superpower rivalry', 'location': 'Global', 'time': 'Post-2024 US Presidential Election', 'counterpart': None, 'impact_summary': 'Continued tensions affecting international diplomacy and economic relations.', 'cause': 'Competing national interests'}",,Post-2024 US Presidential Election,,United States and China,,Global,,,55.702215,12.5592485
13930,19490,happens_before,,US export controls,US-China relations are strained over issues like US export controls on advanced chip technology to China and additional tariffs on Chinese goods.,US tariff hikes on Chinese imports,"The United States imposed significant tariff increases on various Chinese imports, raising trade tensions between the two nations.",0.7236779332160951,Event 'US export controls' happens_before Event 'US tariff hikes on Chinese imports' via COMET: 'US and China trade war',comet_happens_before,,,,,,,,,,,,
13930,22582,happens_before,,US export controls,US-China relations are strained over issues like US export controls on advanced chip technology to China and additional tariffs on Chinese goods.,tensions between the US and China are high,"Tensions have escalated between the US and China, impacting their commercial relationship.",0.737379014492034,Event 'US export controls' happens_before Event 'tensions between the US and China are high' via COMET: 'US and China trade war',comet_happens_before,,,,,,,,,,,,
